nodes_g1,nodes_g2,time_sec,time_format,distance
10,12,120.14179229736328,00h02m00s,17.0
7,30,600.0008208751678,00h10m00s,-1
13,6,2.1174447536468506,00h00m02s,16.0
14,6,0.67486572265625,00h00m00s,21.0
14,5,0.525254487991333,00h00m00s,22.0
6,13,5.308234691619873,00h00m05s,20.0
6,25,8.771971702575684,00h00m08s,40.0
15,15,0.0096893310546875,00h00m00s,1.0
13,15,0.14290809631347656,00h00m00s,15.0
8,25,600.0005924701691,00h10m00s,-1
19,16,600.0008592605591,00h10m00s,-1
12,11,467.20634388923645,00h07m47s,17.0
13,13,0.16338157653808594,00h00m00s,13.0
16,20,600.0007951259613,00h10m00s,-1
6,12,0.29777073860168457,00h00m00s,17.0
7,8,0.4601891040802002,00h00m00s,10.0
9,7,0.010375261306762695,00h00m00s,7.0
10,6,0.0921168327331543,00h00m00s,15.0
13,107,0.8823797702789307,00h00m00s,153.0
27,11,600.0005989074707,00h10m00s,-1
13,18,600.0007610321045,00h10m00s,-1
15,11,164.3818018436432,00h02m44s,18.0
17,13,100.17245960235596,00h01m40s,12.0
79,8,600.0016076564789,00h10m00s,-1
13,28,600.0014336109161,00h10m00s,-1
8,14,31.21077847480774,00h00m31s,17.0
12,14,600.0005927085876,00h10m00s,-1
27,6,367.58394265174866,00h06m07s,42.0
68,11,600.0015242099762,00h10m00s,-1
12,11,600.0007834434509,00h10m00s,-1
10,7,4.400411605834961,00h00m04s,15.0
11,8,19.784911155700684,00h00m19s,14.0
17,12,600.0006930828094,00h10m00s,-1
8,5,0.007288932800292969,00h00m00s,9.0
66,14,600.0014998912811,00h10m00s,-1
7,19,551.4946238994598,00h09m11s,31.0
12,15,600.0008056163788,00h10m00s,-1
13,10,600.0006856918335,00h10m00s,-1
16,61,600.0013513565063,00h10m00s,-1
8,13,35.19973397254944,00h00m35s,17.0
8,13,96.66705656051636,00h01m36s,19.0
15,15,600.0007929801941,00h10m00s,-1
14,67,600.0019659996033,00h10m00s,-1
5,5,0.030580759048461914,00h00m00s,8.0
14,10,319.2012052536011,00h05m19s,19.0
15,38,600.001471042633,00h10m00s,-1
8,8,0.2603023052215576,00h00m00s,9.0
13,9,0.020055532455444336,00h00m00s,16.0
6,11,0.8203866481781006,00h00m00s,13.0
7,7,0.004484891891479492,00h00m00s,5.0
7,20,445.3985695838928,00h07m25s,29.0
14,6,0.5826959609985352,00h00m00s,21.0
27,15,600.0009164810181,00h10m00s,-1
13,71,600.0013406276703,00h10m00s,-1
5,19,0.7347214221954346,00h00m00s,28.0
42,17,600.0013177394867,00h10m00s,-1
9,15,600.0009133815765,00h10m00s,-1
71,21,600.0024931430817,00h10m00s,-1
10,24,600.0010421276093,00h10m00s,-1
19,9,443.64947867393494,00h07m23s,28.0
13,14,600.0010495185852,00h10m00s,-1
280,14,600.0037055015564,00h10m00s,-1
10,19,600.0009205341339,00h10m00s,-1
11,14,600.0009360313416,00h10m00s,-1
46,11,600.0011475086212,00h10m00s,-1
15,29,600.0013077259064,00h10m00s,-1
9,7,0.010098934173583984,00h00m00s,10.0
7,20,600.0008056163788,00h10m00s,-1
8,13,167.15705394744873,00h02m47s,19.0
14,82,600.001811504364,00h10m00s,-1
13,19,6.464563369750977,00h00m06s,13.0
